イベント名	ジャンル	日付	会場名	会場郵便番号	会場住所	備考	Webサイト	運営
ボイハモ名古屋 Vol.1	トーク系ソフトキャラクター関連楽曲中心DJクラブイベント	2024-03-02	愛知/今池ベルベットアイスクリーム	4640851	愛知県名古屋市千種区今池南31-21 クリエイティブ21ビル B1F	翌日にソウサクサミット開催	https://twipla.jp/events/594414	ボイハモ名古屋
VOCALOID STREET 08	VOCALOIDオンリー	2024-03-03	愛知/名古屋国際会議場 白鳥ホール	4560036	愛知県名古屋市熱田区熱田西町1-1	ソウサクサミット内開催	https://voca-st.com/	ボカスト準備会
CeVIO FESTA 9	CeVIOオンリー	2024-03-03	愛知/名古屋国際会議場 白鳥ホール	4560036	愛知県名古屋市熱田区熱田西町1-1	ソウサクサミット内開催	https://www.cevio-festa.com/	チェビフェス準備会
よかろいど福岡	all-genre	2024-03-16	福岡/福岡県中小企業振興センタービル 301会議室	8120046	福岡県福岡市博多区吉塚本町9-15		https://pachicalmirai.wixsite.com/my-site	パチミラ福岡運営団体
ずんスタ★バザール in パシフィックホテル白石2	東北ずん子･東北三姉妹･ずんだもんオンリー	2024-03-16	宮城/パシフィックホテル白石 1F 及び 壽丸屋敷	9890207	宮城県白石市堂場前45-7	2会場に分けての開催	https://fuboh.jp/zunko/bazaar_hotel2/	パシフィックホテル白石, 東北ずん子スタンプラリー実行委員会
THE VOC@LOiD 超 M@STER 55	VOCALOIDオンリー	2024-04-27	千葉/幕張メッセ	2618550	千葉県千葉市美浜区中瀬2-1	ニコニコ超会議内(27, 28日開催)	https://ketto.com/tvm/	ケットコム
声音の宴 3次会	all-genre	2024-05-03	東京/大田区産業プラザPiO	1440035	東京都大田区南蒲田1-20-20		https://kowa-uta.com/	声音の宴準備会
声音文脈	トーク系ソフトキャラクター関連楽曲中心DJクラブイベント	2024-05-04	東京/アニソンDJカフェバー雷神 3F	1010025	東京都千代田区神田佐久間町2-10	前日に「声音の宴」開催	https://twitter.com/Koeoto_Bunmyaku	声音文脈
Virtual Voice Harmony Vol.04	トーク系ソフトキャラクター関連楽曲中心DJクラブイベント	2024-06-01	東京/アニソンDJカフェバー雷神 3F	1010025	東京都千代田区神田佐久間町2-10	翌日に「足立の一歩」「ふたばすてっぷ」開催	https://twitter.com/VV_Harmony	ボイハモ
足立の一歩	足立レイオンリー	2024-06-02	東京/ポプルスガレージ	1970013	東京都福生市武蔵野台1-17-34	「ふたばすてっぷ」と併催	https://adachinoippo.net/	ねくたりしょん
ふたばすてっぷ	双葉湊音オンリー	2024-06-02	東京/ポプルスガレージ	1970013	東京都福生市武蔵野台1-17-34	「足立の一歩」と併催	https://futabastep.net/	足立の一歩準備会
かがみらーじゅ!02	鏡音リン･レンオンリー	2024-06-09	愛知/名古屋国際会議場 展示室211+212	4560036	愛知県名古屋市熱田区熱田西町1-1		https://kagamirage.com/	かがみら準備会
第3回ついなちゃんドゥルル祭	ついなちゃんオンリー	2024-06-09	埼玉/小江戸蔵里 川越市産業観光館 ギャラリー	3500043	埼玉県川越市新富町1丁目10-1	川越キャラクターベース9内開催	https://yukoduka.wixsite.com/kawagoe-cb9-tuina	ついなちゃんドゥルル祭 事務局
小春六花はヨーグルトが食べたい3	小春六花オンリー	2024-07-21	愛知/ポートメッセなごや コンベンションホールA	4550848	愛知県名古屋市港区金城ふ頭2-2	そうぞうパレッツ内開催	https://kohatabe.jp/	ねくたりしょん
AHSession	AHSキャラクターオンリー	2024-07-21	愛知/ポートメッセなごや コンベンションホールA	4550848	愛知県名古屋市港区金城ふ頭2-2	そうぞうパレッツ内開催	https://souzou-palettes.net/	えいちせ準備会
ずんだぱ～てぃ10	「ずんだホライずん」オンリー	2024-09-22	宮城/ホワイトキューブ	9890218	宮城県白石市鷹巣東2-1-1	「ずんだぱ～てぃ10」と併催	https://zunko.moe/	ずんだぱ～てぃ準備会
ボイボ寮祭	VOICEVOXオンリー	2024-09-22	宮城/ホワイトキューブ	9890218	宮城県白石市鷹巣東2-1-1	「ボイボ寮祭」と併催	https://voicevox.net/	ボイボ寮祭実行委員会
UTAって創る君の声	UTAUオンリー	2024-10-12	東京/東京文具共和会館	1110052	東京都台東区柳橋1-2-10 共和フォーラム		https://inspiring-terunoinfo.wordpress.com/	UTAって創る君の声
第三回小樽潮風高校文化祭「しおばな祭」	TOKYO6キャラクターオンリー	2024-11-02	神奈川/川崎市産業振興会館 4階企画展示場	2120013	神奈川県川崎市幸区堀川町66-20		https://shiokazehs.jp/	ねくたりしょん
コトノハーズフェスタ8	琴葉茜･葵オンリー	2024-11-10	東京/大田区産業プラザPiO	1440035	東京都大田区南蒲田1-20-20		https://koto-fes.com/	コトノハーズフェスタ準備会
ゆかりコレクト	結月ゆかりオンリー	2024-11-10	東京/大田区産業プラザPiO	1440035	東京都大田区南蒲田1-20-20		https://twitter.com/yukari_collect	ゆかりコレクト準備会
きずなフリークス	紲星あかりオンリー	2024-11-10	東京/大田区産業プラザPiO	1440035	東京都大田区南蒲田1-20-20		https://twitter.com/kizuna_freaks	きずなフリークス準備会
鏡音みのり！	鏡音リン･レンオンリー	2024-11-26	東京/綿商会館 4~6F	1030006	東京都中央区日本橋富沢町8-10		https://all-kagamine.jp/kagamino/index.html	鏡音イベント準備会
